ProvEN,T_H_0115,T_H_0116,T_H_0117,T_H_0118,T_H_0119,T_H_0120,T_H_0121,T_H_0122,T_H_0123,T_H_0124,T_H_0125,T_H_0126,T_H_0127,T_H_0128,T_H_0129,T_H_0130,T_H_0131,T_H_0201,T_H_0202,T_H_0203,T_H_0204,T_H_0205,T_H_0206,T_H_0207,T_H_0208,T_H_0209,T_H_0210,T_H_0211,T_H_0212,T_H_0213,T_H_0214,T_H_0215,T_H_0216,T_H_0217,T_H_0218,T_H_0219,T_H_0220,T_H_0221,T_H_0222,T_H_0223,T_H_0224,T_H_0225,T_H_0226,T_H_0227,T_H_0228,T_H_0229,T_H_0301,T_H_0302,T_H_0303,T_H_0304,T_H_0305,T_H_0306,T_H_0307,T_H_0308,T_H_0309,T_H_0310,T_H_0311,T_H_0312,T_H_0313,T_H_0314,T_H_0315,T_H_0316,T_H_0317,T_H_0318,T_H_0319,T_H_0320,T_H_0321,T_H_0322,T_H_0323,T_H_0324,T_H_0325,T_H_0326,T_H_0327,T_H_0328,T_H_0329,T_H_0330,T_H_0331,T_H_0401,T_H_0402,T_H_0403,T_H_0404,T_H_0405,T_H_0406,T_H_0407,T_H_0408,T_H_0409,T_H_0410,T_H_0411,T_H_0412,T_H_0413,T_H_0414,T_H_0415,T_H_0416,T_H_0417,T_H_0418,T_H_0419
Beijing,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,5,9,12,23,24,31,33,34,37,44,48,56,68,79,97,105,114,122,145,153,169,178,189,198,215,235,248,257,271,276,276,282,288,297,298,303,303,315,320,326,334,344,342,353,353,368,373,379,384,392,398,400,401,401,403,406,409,411,412,416,418,418,434,438,441,443,448,455,464,469,474,479,484,491,495,503,509,509,510,514
Tianjin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,4,4,8,10,11,21,32,37,45,46,48,54,59,62,65,81,87,91,96,102,105,109,111,118,124,128,128,128,128,129,130,131,132,132,132,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,135,135,140,140,144,144,151,152,152,154,158,161,161,164,168,171,172,173,173,174
Hebei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,7,16,25,30,35,41,48,54,69,86,100,109,123,136,152,170,184,204,221,241,248,261,274,277,283,294,297,300,301,304,305,307,307,307,307,307,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,312,313,313,313,313,313,314,314,315,316,316,316,317
Shanxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,6,12,15,21,25,26,30,33,36,38,46,50,53,61,68,76,78,81,88,94,98,104,107,112,114,116,119,124,124,126,126,126,126,127,131,131,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,134,134,134,135,135,135,135,135,135,135,135,135,135
Neimenggu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,5,5,5,5,5,6,6,6,7,8,8,9,11,16,22,26,30,34,35,38,43,46,51,51,54,59,63,65,65,68,70,70,70,71,71,71,71,71,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,79,79,83,83,91,94,94,94,103,104,104
Liaoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,6,7,12,12,17,19,22,22,29,32,41,43,55,58,61,66,68,73,83,88,92,93,95,101,103,103,106,106,106,106,108,109,110,111,111,112,113,113,114,119,122,122,122,122,122,124,124,124,124,124,124,124,124,124,124,124,124,125,125,128,130,131,131,132,133,136,136,138,138,138,140,142,142,143
Jilin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,5,12,13,18,22,25,25,28,30,34,36,40,44,46,52,54,60,63,65,68,73,75,78,83,84,86,88,90,90,90,91,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,93,95,96,96,96,96,96,96,97,97,97,97
Heilongjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,8,12,13,15,27,28,31,37,48,70,80,85,108,123,141,183,215,224,232,245,262,280,295,330,350,358,372,379,380,402,409,421,434,435,440,446,447,453,454,456,459,460,463,463,465,465,468,468,469,469,469,469,469,469,469,469,469,469,469,469,469,470,470,470,470,470,470,470,470,471,471,472,472,473
Shanghai,0,0,0,0,0,0,0,0,0,1,1,1,3,4,5,5,9,10,10,10,12,15,25,30,41,44,48,53,57,62,90,124,140,161,177,186,199,211,227,249,261,268,272,276,279,287,290,292,294,298,303,306,313,314,315,319,320,321,324,324,324,325,325,326,326,326,327,328,329,330,330,331,334,334,334,338,341,343,343,348,356,383,389,406,417,422,435,438,446,458,468,485,489,512,516,521
Jiangsu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,5,6,7,8,13,26,38,43,51,72,84,94,131,137,160,190,226,263,296,325,352,387,411,427,458,463,494,506,519,529,536,555,565,580,588,601,610,618,621,627,628,630,630,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,632,633,633,633,633,633,633,634,638,638,641,642,642,643,643,643,643
